,rain_mm,Q_in_cms,Q_out_cms,dam_el_masl,MW_schedule,operation_mode
2025-12-11 03:00:00,0.0,0.3149909114820642,0.0,330.0619934101066,0.0,recovery
2025-12-11 04:00:00,0.0,0.31502580877546,0.0,330.0661259800761,0.0,recovery
2025-12-11 05:00:00,0.0,0.3150509838050406,0.0,330.07025888029654,0.0,recovery
2025-12-11 06:00:00,0.0,0.31505460483214504,0.0,330.07439182801835,0.0,recovery
2025-12-11 07:00:00,0.0,0.315039942755491,0.0,330.07852458340017,0.0,recovery
2025-12-11 08:00:00,0.0,0.3150197961529955,0.0,330.08265707449493,0.0,recovery
2025-12-11 09:00:00,0.0,0.31500690616142357,0.0,330.0867893964963,0.0,recovery
2025-12-11 10:00:00,0.0,0.31500676862502236,0.0,330.0909217166934,0.0,recovery
2025-12-11 11:00:00,0.0,0.31501631505601074,0.0,330.09505416212244,0.0,recovery
2025-12-11 12:00:00,0.0,0.3150277600756955,0.0,330.0991867576895,0.0,recovery
2025-12-11 13:00:00,0.0,0.3150341658892735,0.0,330.10331943728926,0.0,recovery
2025-12-11 14:00:00,0.0,0.3150331548140368,0.0,330.1074521036255,0.0,recovery
2025-12-11 15:00:00,0.0,0.315027128230961,0.0,330.1115846909039,0.0,recovery
2025-12-11 16:00:00,0.0,0.3150207301159422,0.0,330.1157171942506,0.0,recovery
2025-12-11 17:00:00,0.0,0.3150176687141973,0.0,330.11984965743716,0.0,recovery
2025-12-11 18:00:00,0.0,0.3150188512863501,0.0,330.123982136137,0.0,recovery
2025-12-11 19:00:00,0.0,0.3150225623195226,0.0,330.12811466351883,0.0,recovery
2025-12-11 20:00:00,0.0,0.3150260803133136,0.0,330.1322472370504,0.0,recovery
2025-12-11 21:00:00,0.0,0.31502746432123124,0.0,330.1363798287377,0.0,recovery
2025-12-11 22:00:00,0.0,0.31502645851031125,0.0,330.1405124072305,0.0,recovery
2025-12-11 23:00:00,0.0,0.3150242210286052,0.0,330.1446449563717,0.0,recovery
2025-12-12 00:00:00,0.0,0.31502232050196294,0.0,330.1487774805813,0.0,recovery
2025-12-12 01:00:00,0.0,0.31502174808519173,0.0,330.1529099972819,0.0,recovery
2025-12-12 02:00:00,0.0,0.31502249967556556,0.0,330.157042523842,0.0,recovery
2025-12-12 03:00:00,0.0,0.3150238237776088,0.0,330.1611750677719,0.0,recovery
2025-12-12 04:00:00,0.0,0.3150248306850891,0.0,330.16530762491067,0.0,recovery
2025-12-12 05:00:00,0.0,0.31502502949289746,0.0,330.1694401846574,0.0,recovery
2025-12-12 06:00:00,0.0,0.3150245071943302,0.0,330.1735727375525,0.0,recovery
2025-12-12 07:00:00,0.0,0.3150237369308496,0.0,330.17770528034316,0.0,recovery
2025-12-12 08:00:00,0.0,0.3150232152765026,0.0,330.1818378162906,0.0,recovery
2025-12-12 09:00:00,0.0,0.31502317576453315,0.0,330.1859703517198,0.0,recovery
2025-12-12 10:00:00,0.0,0.31502352177727033,0.0,330.190102891688,0.0,recovery
2025-12-12 11:00:00,0.0,0.31502396261341414,0.0,330.1942354374392,0.0,recovery
2025-12-12 12:00:00,0.0,0.31502422569260585,0.0,330.19836798664153,0.0,recovery
2025-12-12 13:00:00,0.0,0.31502420616279747,0.0,330.20250053558766,0.0,recovery
2025-12-12 14:00:00,0.0,0.3150239847874445,0.0,330.2066330816297,0.0,recovery
2025-12-12 15:00:00,0.0,0.31502373649909415,0.0,330.2107656244147,0.0,recovery
2025-12-12 16:00:00,0.0,0.3150236082844564,0.0,330.21489816551775,0.0,recovery
2025-12-12 17:00:00,0.0,0.3150236429937418,0.0,330.2190307070761,0.0,recovery
2025-12-12 18:00:00,0.0,0.3150237808113727,0.0,330.2231632504424,0.0,recovery
2025-12-12 19:00:00,0.0,0.31502391839644994,0.0,330.22729579561354,0.0,recovery
